date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:26	84305/84305	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:02%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html	(from )
20:56:27	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Aug%202024%2015:26:28%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/robots.txt		(from )
20:56:28	4138/4138	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6791-102a%22	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:29	50327/50327	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6790-c497%22	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:29	750666/750666	---MCZ	200	added ('OK')	text/css	etag:W/%22614c678f-b744a%22	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:30	4991/4991	---M--	200	added ('OK')	image/png	etag:%2261452c10-137f%22	https://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:31	3932/3932	---M--	200	added ('OK')	image/png	etag:%2261452c16-f5c%22	https://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:31	2025/2025	---M--	200	added ('OK')	image/png	etag:%22614da0e8-7e9%22	https://edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:32	1884/1884	---M--	200	added ('OK')	image/png	etag:%22614d9f25-75c%22	https://edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:32	7364/7364	---M--	200	added ('OK')	image/png	etag:%22614c6e0c-1cc4%22	https://edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
